Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality,,,,
2539,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,Good,,,,
1528,7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,Good,,,,
3057,6.4,0,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,Good,,,,
3995,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,Good,,,,
4469,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,Good,,,,
1846,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,Disappointing,,,,
3354,5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,Good,,,,
1444,8.2,0.15,0.48,2.7,0.052,24,190,0.052,3.5,0.45,10.9,Good,,,,
2085,8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,Disappointing,,,,
1090,7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,Good,,,,
3160,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,Good,,,,
1900,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,Good,,,,
3147,7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,Disappointing,,,,
4331,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,Disappointing,,,,
233,6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,Disappointing,,,,
2820,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,Good,,,,
3403,7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,Good,,,,
3130,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,Good,,,,
3984,6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,Good,,,,
3640,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,,0.95,9.5,Good,,,,
4019,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,Disappointing,,,,
4465,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,Disappointing,,,,
2497,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,Disappointing,,,,
3554,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,Good,,,,
2637,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,Good,,,,
350,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,Good,,,,
2132,6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,Good,,,,
686,6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,Good,,,,
2529,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,Disappointing,,,,
255,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,Disappointing,,,,
3347,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,Disappointing,,,,
10,8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,Good,,,,
397,8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,Disappointing,,,,
4094,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,Disappointing,,,,
4422,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,Good,,,,
1411,6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,Disappointing,,,,
2913,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,Disappointing,,,,
2965,7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,Good,,,,
2777,9,0.17,0.49,1,0.039,46,131,0.039,3.09,0.51,10.5,Good,,,,
3996,6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,Good,,,,
4594,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,Good,,,,
1380,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,Disappointing,,,,
245,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,Disappointing,,,,
2022,6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,Good,,,,
1930,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,Good,,,,
2885,6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,Good,,,,
3372,6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,Good,,,,
2668,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,Good,,,,
2095,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,Good,,,,
993,7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,Disappointing,,,,
2052,6.6,,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,Good,,,,
3471,7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,Good,,,,
1168,8,0.37,0.32,1.6,0.04,32,166,0.00004,3,0.55,11.3,Good,,,,
3198,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,Good,,,,
3520,6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,Disappointing,,,,
1747,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,Disappointing,,,,
1394,5.1,0.31,0.3,0.9,0.037,28,152,0.037,3.54,0.56,10.1,Good,,,,
501,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,Good,,,,
2167,6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,Good,,,,
3326,6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,Disappointing,,,,
2337,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,Disappointing,,,,
4166,5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,Good,,,,
66,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,Good,,,,
4133,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,Disappointing,,,,
2614,7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,Disappointing,,,,
3646,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,Disappointing,,,,
1955,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,Good,,,,
1418,7,0.24,0.32,1.3,0.037,39,123,0.037,3.17,0.42,11.2,Good,,,,
1842,5.9,0.28,0.39,1.4,0.031,,147,0.98836,3.08,0.64,12.9,Good,,,,
1341,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,Good,,,,
542,6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,Good,,,,
1254,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,Disappointing,,,,
1241,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,Good,,,,
1532,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,Good,,,,
83,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,Disappointing,,,,
3423,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,Disappointing,,,,
2011,6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,Good,,,,
2703,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,Good,,,,
472,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,Good,,,,
143,6.9,0.19,0.35,5,0.067,32,150,0.067,3.36,0.48,9.8,Disappointing,,,,
830,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,Good,,,,
142,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,Disappointing,,,,
4217,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,Good,,,,
2205,8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,Good,,,,
3603,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,Disappointing,,,,
2512,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,Disappointing,,,,
493,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,Disappointing,,,,
48,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,Disappointing,,,,
1939,7.3,0,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,Good,,,,
929,6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,Disappointing,,,,
3615,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,Good,,,,
2291,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,Disappointing,,,,
2414,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,Good,,,,
4158,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,Good,,,,
342,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,Good,,,,
99,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,Disappointing,,,,
2498,7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,Good,,,,
469,7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,Good,,,,
1178,7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,Good,,,,
627,5,0.24,0.19,5,0.043,17,101,,3.67,0.57,10,Disappointing,,,,
685,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,Good,,,,
2548,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,Disappointing,,,,
262,6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,Good,,,,
2815,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,Good,,,,
3290,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,Good,,,,
1673,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,Good,,,,
3151,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,Disappointing,,,,
239,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,Good,,,,
2607,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,Good,,,,
1180,6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,Good,,,,
804,6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,Good,,,,
1284,6.8,0.31,0.19,3.5,0.086,30,130,0.086,2.83,0.44,9.6,Disappointing,,,,
2694,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,Good,,,,
1873,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,Disappointing,,,,
2837,6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,Disappointing,,,,
4225,8.6,0.27,0.46,6.1,0.032,13,41,0.032,2.89,0.34,10.9,Disappointing,,,,
2344,7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,Good,,,,
1111,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,Disappointing,,,,
3311,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,Good,,,,
2363,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,Disappointing,,,,
4600,6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,Disappointing,,,,
1070,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,Disappointing,,,,
527,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,Disappointing,,,,
479,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,Good,,,,
2896,6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,Good,,,,
3281,5.8,0.42,0.3,2.2,0.035,26,129,0.035,3.32,0.47,12.9,Good,,,,
1989,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,Good,,,,
653,7.5,0,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,Good,,,,
3737,6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,Good,,,,
4431,7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,Good,,,,
87,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,Good,,,,
2385,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,Good,,,,
3537,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,,10.9,Good,,,,
2327,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,Disappointing,,,,
1095,7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,Good,,,,
2102,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,Disappointing,,,,
1297,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,Good,,,,
4292,6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,Good,,,,
3101,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,Good,,,,
4455,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,Good,,,,
61,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,Disappointing,,,,
1777,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,Good,,,,
2012,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,Good,,,,
540,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,Good,,,,
1140,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,Good,,,,
662,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,Good,,,,
4568,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,Good,,,,
958,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,Disappointing,,,,
2313,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,Good,,,,
3928,6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,Disappointing,,,,
2286,6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,Good,,,,
1880,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,Disappointing,,,,
1306,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,Good,,,,
4524,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,Good,,,,
235,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,Good,,,,
3472,7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,Good,,,,
4233,8.1,0.24,0.33,10.2,0.048,46,,0.9972,3.16,0.48,10.3,Good,,,,
4022,8.3,0.15,0.39,1.3,0.055,32,146,0.055,3.08,0.39,10.5,Good,,,,
1289,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,Good,,,,
1076,9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,Disappointing,,,,
1359,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,Good,,,,
1448,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,Disappointing,,,,
2712,4.7,0,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,Good,,,,
2801,6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,Good,,,,
477,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,Good,,,,
2196,6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,Disappointing,,,,
210,6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,Good,,,,
2899,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,Good,,,,
4205,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,Good,,,,
4214,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,Disappointing,,,,
4009,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,Disappointing,,,,
2096,7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,Disappointing,,,,
1625,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,Good,,,,
1714,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,Good,,,,
4139,7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,Good,,,,
3019,5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,Good,,,,
1834,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,Good,,,,
2112,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,Good,,,,
3284,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,Good,,,,
3230,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,Disappointing,,,,
2070,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,Good,,,,
1807,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,Disappointing,,,,
1766,7.6,,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,Disappointing,,,,
2948,8.1,0.2,0.36,9.7,0.044,63,162,0.044,3.1,0.46,10,Good,,,,
3032,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,Good,,,,
259,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,Good,,,,
2019,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,Good,,,,
2218,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,Good,,,,
690,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,Good,,,,
1328,6.1,0,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,Good,,,,
878,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,Disappointing,,,,
